dataset,cancer
BCC_GSE123813,BCC
BLCA_GSE149652,BLCA
BRCA_GSE110686,BRCA
BRCA_GSE114727,BRCA
CRC_GSE108989,CRC
CRC_GSE139555,CRC
CRC_GSE146771,CRC
ESCA_GSE160269,ESCA
Glioma_GSE163108a,Glioma
Glioma_GSE163108b,Glioma
HNSC_GSE139324,HNSC
KIRC_GSE111360,KIRC
KIRC_GSE121636,KIRC
LIHC_GSE98638,LIHC
LIHC_GSE140228,LIHC
LIHC_GSE166635,LIHC
LSCC_GSE150321,LSCC
NPC_GSE150430,NPC
NPC_GSE162025,NPC
NSCLC_EMTAB6149,NSCLC
NSCLC_GSE99254,NSCLC
NSCLC_GSE139555,NSCLC
NSCLC_GSE146100,NSCLC
NSCLC_GSE151537,NSCLC
NSCLC_GSE162498,NSCLC
NSCLC_GSE176021,NSCLC
OSCC_GSE172577,OSCC
PRAD_GSE176031,PRAD
SCC_GSE123813,SCC
SKCM_GSE120575,SKCM
SKCM_GSE148190,SKCM
UCEC_GSE139555,UCEC
